tconst	primaryTitle	startYear
tt0034297	Tobacco Road	1941
tt0034298	The Brothers and Sisters of the Toda Family	1941
tt0034303	Topper Returns	1941
tt0034328	Two-Faced Woman	1941
tt0034333	Uma	1941
tt0034342	Unholy Partners	1941
tt0034354	Venus of Paris	1941
tt0034370	The Wagons Roll at Night	1941
tt0034379	Week-End in Havana	1941
tt0034384	Western Union	1941
tt0034386	When Ladies Meet	1941
tt0034398	The Wolf Man	1941
tt0034399	A Woman's Face	1941
tt0034405	A Yank in the RAF	1941
tt0034409	You'll Never Get Rich	1941
tt0034415	Ziegfeld Girl	1941
tt0034416	Zis Boom Bah	1941
tt0034424	A-Haunting We Will Go	1942
tt0034428	Across the Pacific	1942
tt0034433	The Affairs of Martha	1942
tt0034435	Derailed	1942
tt0034445	Alias Boston Blackie	1942
tt0034449	All Through the Night	1942
tt0034455	American Empire	1942
tt0034461	Aniki Bóbó	1942
tt0034465	Arabian Nights	1942
tt0034478	The Murderer Lives at Number 21	1942
tt0034485	Babes on Broadway	1941
tt0034492	Bambi	1942
tt0034493	The Children Are Watching Us	1943
tt0034506	Bengasi	1942
tt0034507	Berlin Correspondent	1942
tt0034513	The Big Shot	1942
tt0034514	The Big Street	1942
tt0034522	The Black Swan	1942
tt0034540	The Boogie Man Will Get You	1942
tt0034545	Boston Blackie Goes Hollywood	1942
tt0034565	Cairo	1942
tt0034570	Calling Dr. Gillespie	1942
tt0034575	Captain Fracasse	1943
tt0034578	Captains of the Clouds	1942
tt0034583	Casablanca	1942
tt0034586	Castle in the Desert	1942
tt0034587	Cat People	1942
tt0034591	There Was a Father	1942
tt0034613	The Corpse Vanishes	1942
tt0034618	The Courtship of Andy Hardy	1942
tt0034622	Crossroads	1942
tt0034636	The Dark Tower	1943
tt0034639	The Avengers	1942
tt0034643	The Trump Card	1942
tt0034646	Desperate Journey	1942
tt0034659	Doctor Glas	1942
tt0034690	Dawn Devils	1946
tt0034694	Edge of Darkness	1943
tt0034701	People on the Alps	1942
tt0034704	The Dismissal	1942
tt0034711	Eyes in the Night	1942
tt0034716	The Falcon Takes Over	1942
tt0034732	Fingers at the Window	1942
tt0034734	Spitfire	1942
tt0034740	Fly-By-Night	1942
tt0034742	Flying Tigers	1942
tt0034746	For Me and My Gal	1942
tt0034770	The Gay Sisters	1942
tt0034778	Gentleman Jim	1942
tt0034780	George Washington Slept Here	1942
tt0034786	The Ghost of Frankenstein	1942
tt0034798	The Glass Key	1942
tt0034800	The Golden City	1942
tt0034801	The Goose Steps Out	1942
tt0034808	Grand Central Murder	1942
tt0034812	The Great Man's Lady	1941
tt0034814	Der große König	1942
tt0034815	Die große Liebe	1942
